Month,Product,Region,Customer_Segment,Ad_Spend,Interest_Rate,Promotion_Active,Market_Index,Festive_Month,Previous_Month_Demand,Product_Demand
2021-01,Credit Card,Tier 1,Salaried,25795,15.51,0,105.59,0,4092,736
2021-01,Credit Card,Tier 1,Self-Employed,16265,7.56,0,99.18,0,4444,707
2021-01,Credit Card,Tier 1,Student,70263,13.08,1,91.13,0,3391,862
2021-01,Credit Card,Tier 2,Salaried,77969,7.82,0,102.35,0,4385,780
2021-01,Credit Card,Tier 2,Self-Employed,81932,10.32,0,100.5,0,3558,864
2021-01,Credit Card,Tier 2,Student,28431,8.92,1,94.66,0,4005,883
2021-01,Credit Card,Tier 3,Salaried,45773,8,0,109.66,0,2528,804
2021-01,Credit Card,Tier 3,Self-Employed,79092,12.08,0,99.01,0,2297,733
2021-01,Credit Card,Tier 3,Student,18792,15.66,1,97.71,0,4417,759
2021-01,Personal Loan,Tier 1,Salaried,33483,7.22,0,106.66,0,1034,629
2021-01,Personal Loan,Tier 1,Self-Employed,77121,12.63,1,98.5,0,3613,911
2021-01,Personal Loan,Tier 1,Student,62995,7.85,0,106.85,0,2579,845
2021-01,Personal Loan,Tier 2,Salaried,47065,14.95,1,104.55,0,4342,1030
2021-01,Personal Loan,Tier 2,Self-Employed,50397,7.96,0,109.22,0,4796,873
2021-01,Personal Loan,Tier 2,Student,92798,14.29,1,109.31,0,3235,1041
2021-01,Personal Loan,Tier 3,Salaried,48044,14.02,0,90.31,0,3568,594
2021-01,Personal Loan,Tier 3,Self-Employed,72592,7.99,1,90.28,0,2522,764
2021-01,Personal Loan,Tier 3,Student,43159,13.29,0,102.12,0,4561,709
2021-01,Mutual Fund,Tier 1,Salaried,62251,14.63,1,98.99,0,4104,843
2021-01,Mutual Fund,Tier 1,Self-Employed,45222,12.69,0,104.59,0,2895,651
2021-01,Mutual Fund,Tier 1,Student,80592,9.83,0,104.26,0,4840,800
2021-01,Mutual Fund,Tier 2,Salaried,16910,8.56,0,100.45,0,2038,586
2021-01,Mutual Fund,Tier 2,Self-Employed,33419,7.08,0,107.92,0,4312,777
2021-01,Mutual Fund,Tier 2,Student,64268,11.09,1,92.79,0,3278,856
2021-01,Mutual Fund,Tier 3,Salaried,43827,15.43,0,95.8,0,4157,603
2021-01,Mutual Fund,Tier 3,Self-Employed,53585,12.24,1,102.67,0,3693,834
2021-01,Mutual Fund,Tier 3,Student,79163,10.17,1,100.79,0,2529,882
2021-01,Fixed Deposit,Tier 1,Salaried,31976,9.18,0,95.44,0,2306,676
2021-01,Fixed Deposit,Tier 1,Self-Employed,16776,14.18,0,96.1,0,1709,608
2021-01,Fixed Deposit,Tier 1,Student,15530,10.17,0,103.85,0,2257,702
2021-01,Fixed Deposit,Tier 2,Salaried,76199,15.43,1,94.38,0,2495,872
2021-01,Fixed Deposit,Tier 2,Self-Employed,64384,6.65,1,109.25,0,4581,1005
2021-01,Fixed Deposit,Tier 2,Student,99474,9.01,0,109.95,0,1698,850
2021-01,Fixed Deposit,Tier 3,Salaried,10854,8.79,0,102.69,0,2661,666
2021-01,Fixed Deposit,Tier 3,Self-Employed,97092,10.89,1,101.06,0,3294,932
2021-01,Fixed Deposit,Tier 3,Student,62662,13.62,0,94.84,0,1293,493
2021-01,SIP,Tier 1,Salaried,62083,15.83,1,100.72,0,3799,935
2021-01,SIP,Tier 1,Self-Employed,35184,7.51,0,93.73,0,4420,593
2021-01,SIP,Tier 1,Student,59811,9.26,1,90.33,0,2986,821
2021-01,SIP,Tier 2,Salaried,21411,12.45,1,108.81,0,2959,893
2021-01,SIP,Tier 2,Self-Employed,98614,15.37,0,103.51,0,3520,908
2021-01,SIP,Tier 2,Student,57254,11.41,1,95.16,0,2787,841
2021-01,SIP,Tier 3,Salaried,26371,11.3,1,109.93,0,3301,949
2021-01,SIP,Tier 3,Self-Employed,30932,15,0,93.77,0,4304,637
2021-01,SIP,Tier 3,Student,52642,13.26,0,107.13,0,3101,784
2021-02,Credit Card,Tier 1,Salaried,69040,12.42,0,108.71,0,2443,850
2021-02,Credit Card,Tier 1,Self-Employed,63351,12.06,0,97.45,0,2496,663
2021-02,Credit Card,Tier 1,Student,12200,6.05,1,96.11,0,4777,797
2021-02,Credit Card,Tier 2,Salaried,71135,15.94,1,104.24,0,3848,988
2021-02,Credit Card,Tier 2,Self-Employed,96831,13.46,1,104.88,0,2218,980
2021-02,Credit Card,Tier 2,Student,80271,11.68,1,100.18,0,1469,845
2021-02,Credit Card,Tier 3,Salaried,27429,8.44,1,109.58,0,1562,917
2021-02,Credit Card,Tier 3,Self-Employed,15895,12.31,1,97,0,4680,751
2021-02,Credit Card,Tier 3,Student,49790,10.93,0,94.6,0,1815,627
2021-02,Personal Loan,Tier 1,Salaried,66835,6.24,0,90.87,0,4243,780
2021-02,Personal Loan,Tier 1,Self-Employed,53484,8.8,1,97.4,0,2768,761
2021-02,Personal Loan,Tier 1,Student,28711,9.31,1,109.33,0,4170,1049
2021-02,Personal Loan,Tier 2,Salaried,64240,6.75,0,97.7,0,3006,782
2021-02,Personal Loan,Tier 2,Self-Employed,95314,7.69,0,97.89,0,3613,768
2021-02,Personal Loan,Tier 2,Student,61885,6.97,1,103.42,0,2686,1000
2021-02,Personal Loan,Tier 3,Salaried,66958,11.18,1,96.45,0,4175,961
2021-02,Personal Loan,Tier 3,Self-Employed,88069,9.59,0,95.93,0,1537,662
2021-02,Personal Loan,Tier 3,Student,60993,14.67,0,91.63,0,3950,618
2021-02,Mutual Fund,Tier 1,Salaried,80316,7.94,1,104.04,0,1399,922
2021-02,Mutual Fund,Tier 1,Self-Employed,97922,9.38,1,101.58,0,2823,1045
2021-02,Mutual Fund,Tier 1,Student,62921,11.43,0,106.78,0,3617,802
2021-02,Mutual Fund,Tier 2,Salaried,41024,6.37,1,96.07,0,4050,950
2021-02,Mutual Fund,Tier 2,Self-Employed,90135,13.7,1,109.31,0,2126,1056
2021-02,Mutual Fund,Tier 2,Student,64021,6.52,1,98.23,0,3914,877
2021-02,Mutual Fund,Tier 3,Salaried,82615,13.26,0,109.39,0,2129,856
2021-02,Mutual Fund,Tier 3,Self-Employed,96672,9.99,0,98.78,0,2974,768
2021-02,Mutual Fund,Tier 3,Student,42217,15.63,0,98.57,0,2931,666
2021-02,Fixed Deposit,Tier 1,Salaried,76617,15.15,0,95,0,4709,779
2021-02,Fixed Deposit,Tier 1,Self-Employed,30056,12.6,0,102.77,0,2212,726
2021-02,Fixed Deposit,Tier 1,Student,19662,10.36,0,98.39,0,4147,731
2021-02,Fixed Deposit,Tier 2,Salaried,77215,7.59,1,90.29,0,2243,749
2021-02,Fixed Deposit,Tier 2,Self-Employed,54078,6.41,1,109.59,0,1452,937
2021-02,Fixed Deposit,Tier 2,Student,45247,14.07,1,93.46,0,2757,742
2021-02,Fixed Deposit,Tier 3,Salaried,36646,6.48,1,102.7,0,3849,989
2021-02,Fixed Deposit,Tier 3,Self-Employed,50158,6.15,0,100.06,0,3816,728
2021-02,Fixed Deposit,Tier 3,Student,26364,7.63,1,108.88,0,3305,945
2021-02,SIP,Tier 1,Salaried,98223,15.4,1,103.54,0,4746,1065
2021-02,SIP,Tier 1,Self-Employed,14000,14.11,0,108.83,0,4906,755
2021-02,SIP,Tier 1,Student,48304,12.51,0,93.92,0,3444,556
2021-02,SIP,Tier 2,Salaried,48494,9.77,0,91.89,0,3082,601
2021-02,SIP,Tier 2,Self-Employed,35351,9.85,1,90.47,0,1417,661
